maze_idx,best_fitness,time_s,n_nodes,n_connections
1,11289.0992,1.22,1,10
2,11232.2096,1.29,1,10
3,8057.615,0.71,1,11
4,813.0331,38.99,1,10
5,415.5311,23.0,2,12
6,3359.7052,18.19,2,12
7,10215.2917,0.61,2,13
8,7105.5806,1.0,2,14
9,997.7622,35.85,4,13
10,700.3805,33.68,3,16
11,10361.9855,1.61,1,10
12,628.0661,11.56,1,10
13,10124.9698,7.71,1,11
14,9814.6965,2.69,3,14
15,11416.0535,0.39,1,11
16,9937.5232,0.26,1,11
17,1058.6828,16.94,2,13
18,691.0891,15.09,6,22
19,500.6967,12.45,1,9
20,501.1127,14.01,1,10
21,11153.6429,5.78,3,15
22,9131.3906,4.6,3,16
23,558.117,29.76,1,10
24,11258.8163,0.65,1,11
25,10693.0167,0.68,1,11
26,11238.1452,22.82,4,18
27,15681.6488,0.67,1,11
28,6298.08,5.77,1,11
29,889.1141,37.17,3,13
30,11269.997,18.29,2,12
31,11284.491,8.61,3,14
32,631.5265,44.81,2,12
33,11339.0992,1.74,1,11
34,11024.9497,7.14,1,11
35,11784.7501,3.82,1,11
36,1173.9095,50.57,4,18
37,16740.8715,4.12,2,14
38,6954.9989,1.11,2,11
39,7682.2251,21.54,5,21
40,577.3454,35.02,1,11
41,2061.037,46.82,2,13
42,11165.9796,11.59,1,11
43,9426.4235,8.53,2,13
44,10707.798,1.64,1,10
45,751.7937,12.04,3,15
46,9903.3762,0.4,1,11
47,10780.9061,7.16,1,10
48,11176.383,3.08,1,11
49,846.6949,14.76,1,11
50,7511.1883,0.21,1,11
51,580.5032,13.89,4,17
52,1000.3606,20.51,2,13
53,11104.1164,0.86,2,13
54,10944.9199,2.43,2,13
55,9371.9779,0.45,1,11
56,9933.087,0.2,1,11
57,11892.3432,0.87,2,12
58,12015.2434,0.43,1,11
59,864.4909,9.46,3,16
60,9845.2033,4.08,2,13
61,12206.5402,0.38,1,11
62,497.3889,8.23,3,15
63,9222.0669,0.21,1,11
64,10667.7853,0.21,1,11
65,6522.9803,6.43,3,16
66,10777.4095,0.21,1,11
67,9502.2273,0.19,1,11
68,10657.0784,5.82,1,10
69,9873.9662,2.23,2,14
70,6190.1238,5.16,2,12
71,10640.9661,5.99,1,11
72,9318.9164,0.37,1,11
73,12083.6229,1.24,1,10
74,1100.1712,14.52,3,16
75,16395.0481,1.76,1,11
76,10330.6112,7.92,2,12
77,8692.0427,0.71,1,11
78,8687.8126,1.81,1,11
79,9190.3049,7.27,2,13
80,9805.106,1.38,1,11
81,10766.0758,3.65,2,14
82,6366.4043,5.85,2,13
83,549.327,11.73,2,13
84,852.6457,17.82,1,11
85,10958.2228,1.63,1,10
86,9549.9451,1.97,2,14
87,521.6236,11.36,1,10
88,8853.7705,0.8,2,13
89,305.6649,8.55,3,14
90,11269.3593,1.54,1,11
91,894.3468,10.36,1,7
92,5785.8768,10.04,1,10
93,728.618,11.36,3,15
94,1082.8287,13.42,3,13
95,905.131,10.31,3,14
96,9973.3555,3.9,2,11
97,10314.9331,5.07,2,12
98,538.0027,9.71,3,17
99,11337.9521,0.38,1,11
100,11110.9888,0.63,1,10
